autotuner_id,root_opcode,distinct_choices,distinct_emitter_kinds,emitter_kinds,modal_share_pct,entropy_bits,modal_config,modal_config_id,run1_config_id,run2_config_id,run3_config_id,run4_config_id,run5_config_id
5ef02929a87b,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
5f715b2487b6,select,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
62aaff81ff20,dot,1,1,gemm,100.0,-0.0,gemm(algorithm=1),a61a29c65cb6,a61a29c65cb6,a61a29c65cb6,a61a29c65cb6,a61a29c65cb6,a61a29c65cb6
636bfcd7c84a,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
642f1716c937,power,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
6450aa6644ce,add,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
65f9d6c2d663,concatenate,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
682fe5a34e97,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
683ac4371690,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
6a36b1ae429a,dynamic-update-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
722cb4e631be,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
72f2a1c49362,multiply,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
73d7e91fa906,slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
742d7db47992,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
76f43fed15fc,select,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
7799966c059f,maximum,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
78b9cddbd96d,dynamic-update-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
79548ab4eb28,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
7ab74c0fd7c0,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
7f3f32db58d6,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
89f8828cc72b,slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
8a49fbb80fb0,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
8a854d9776ac,power,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
8b85e9664cbb,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
8bd20aa915b6,dynamic-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
8df7b5476f9d,select,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
8ecf0ad4824c,concatenate,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
90f97fad2b66,dynamic-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
94de69be5fd7,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
9f9a2b76299e,maximum,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
a1a4b2865967,maximum,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
